PLZ;Ort;Entstehungsjahr;Lat;Lon
9163;Unterbergen;01.01.1966;46.4781017;14.2559153
9135;Bad Eisenkappel;01.01.1966;46.4812105646964;14.6062427452371
9170;Ferlach;01.01.1966;46.5253656509035;14.3104077671798
9182;Maria Elend;01.01.1966;46.5298704238434;14.0761492080012
9181;Feistritz im Rosental;01.01.1966;46.5322359733192;14.1353740987715
9183;Rosenbach;01.01.1966;46.5364895720495;14.0376219311205
9162;Strau;01.01.1966;46.538069;14.263217
9173;St. Margareten im Rosental;01.01.1966;46.5424186613725;14.4066575369548
9602;Thörl-Maglern;01.01.1966;46.5432506251966;13.6473041244356
9072;Ludmannsdorf;01.01.1966;46.5434291311274;14.1433352631987
9133;Sittersdorf;01.01.1966;46.5450442134619;14.606670100524
9601;Arnoldstein;01.01.1966;46.5491614416208;13.7389296083147
9587;Riegersdorf;01.01.1966;46.5553463720209;13.7820136562887
9582;Latschach;01.01.1966;46.5553849395167;13.9231398940007
9142;Globasnitz;01.01.1966;46.5558931460134;14.7030896208007
9132;Gallizien;01.01.1966;46.5571864921458;14.4867376176021
9071;Köttmannsdorf;01.01.1966;46.5590513134606;14.2401398860515
9184;St. Jakob im Rosental;01.01.1966;46.5591924039025;14.036892812026
9581;Ledenitzen;01.01.1966;46.5607797479231;13.969047545151
9586;Fürnitz;01.01.1966;46.5615850477444;13.8049612268557
9585;Gödersdorf;01.01.1966;46.5659837580745;13.8515609461322
9584;Finkenstein;01.01.1966;46.5665094569957;13.8860451819124
9583;Faak am See;01.01.1966;46.5686475275568;13.9226018058702
9613;Feistritz an der Gail;01.01.1966;46.5731486813703;13.5848233738621
9536;St. Egyden;01.01.1966;46.5762593030776;14.0546384694613
9143;St. Michael ob Bleiburg;01.01.1966;46.5768908195163;14.7519166811765
9123;St. Primus;01.01.1966;46.5775673;14.5292969
9141;Eberndorf;01.01.1966;46.5819316413364;14.6280018226937
9611;Nötsch;01.01.1966;46.5861187790883;13.6266027658505
9232;Rosegg;01.01.1966;46.5868812;13.9930563
9580;Villach-Drobollach am Faaker See;01.01.1966;46.5880281613751;13.9266835231092
9150;Bleiburg;01.01.1966;46.5895556342617;14.7995658229983
9074;Keutschach;01.01.1966;46.591866894636;14.1876224930302
9131;Grafenstein;01.01.1966;46.5943289;14.5282968404637
9500;Villach;01.01.1966;46.59543335;13.8360003424072
9614;Vorderberg;01.01.1966;46.5961448;13.5235852
9504;Villach-Warmbad Villach;01.01.1966;46.5962050162182;13.8253354910094
9073;Klagenfurt-Viktring;01.01.1966;46.5965914764203;14.2743263522901
9535;Schiefling am Wörthersee;01.01.1966;46.597308981385;14.0981817048707
9161;Maria Rain;01.01.1966;46.600357766162;14.2850050824391
9612;St. Georgen im Gailtal;01.01.1966;46.6007599585745;13.6007297495127
9508;Villach;01.01.1966;46.6008457158555;13.8474342414714
9065;Ebenthal;01.01.1966;46.6021253872929;14.3829111082964
9081;Reifnitz;01.01.1966;46.6030687721257;14.1783532848838
9023;Klagenfurt am Wörthersee;01.01.1966;46.6060078971948;14.296385096318
9220;Velden am Wörther See;01.01.1966;46.6088852;14.0377374
9620;Hermagor;01.01.1966;46.6092845498835;13.3334269619137
9122;St. Kanzian;01.01.1966;46.611699;14.559395
9501;Villach;01.01.1966;46.6119294;13.8454679
9524;Villach-St. Magdalen;01.01.1966;46.6120834744262;13.8901497274657
9022;Klagenfurt am Wörthersee;01.01.1966;46.615648;14.2856157
9021;Klagenfurt am Wörthersee Postfach;01.01.1966;46.6174146417483;14.3134833048906
9507;Villach;01.01.1966;46.6180295413582;13.823190870774
9082;Maria Wörth;01.01.1966;46.6187495982103;14.1287666272604
9024;Klagenfurt am Wörthersee;01.01.1966;46.6203709;14.3327895
9631;Jenig;01.01.1966;46.6208070135873;13.258949865624
9624;Egg;01.01.1966;46.6211494277604;13.4326662106337
9121;Tainach;01.01.1966;46.6218676;14.5346992
9241;Wernberg;01.01.1966;46.6223323027563;13.95975897734
9020;Klagenfurt am Wörthersee;01.01.1966;46.6230809192316;14.302588703974
9505;Villach;01.01.1966;46.6237995;13.8555237
9010;Klagenfurt am Wörthersee;01.01.1966;46.6257447068705;14.3047051875546
9201;Krumpendorf;01.01.1966;46.6257520303808;14.2116732170513
9623;St. Stefan an der Gail;01.01.1966;46.6262444216196;13.5413691410772
9530;Bad Bleiberg;01.01.1966;46.6277729;13.6746815
9531;Kreuth;01.01.1966;46.6284293123378;13.637114499819
9615;Görtschach;01.01.1966;46.6302625007853;13.4547936257521
9125;Kühnsdorf;01.01.1966;46.6331857;14.6510158
9212;Techelsberg am Wörther See;01.03.2006;46.6335983356694;14.0963200298894
9155;Neuhaus;01.01.2007;46.6355587500939;14.9264975985772
9026;Klagenfurt am Wörthersee;01.01.1966;46.6360737;14.3150685
9632;Kirchbach;01.01.1966;46.6364267544298;13.2830583477662
